WAFER ID,LOT ID,Cassette,SLOT,STATUS,DATA TYPE,RECIPE,RCP CNT,MEAS SET,MATERIAL,SITE,Site #,Value,Value, X , Y 
7/12/2018 10:40,EAP00016_OXP,Port 1,1,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,32,32,996.7154,0.9906,-147,-0.0006
7/12/2018 10:40,EAP00016_OXP,Port 1,1,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,33,33,995.6007,0.9906,-141.991,-38.047
7/12/2018 10:40,EAP00016_OXP,Port 1,1,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,34,34,1011.4169,0.9909,-127.3054,-73.5004
7/12/2018 10:40,EAP00016_OXP,Port 1,1,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,35,35,1016.0554,0.9907,-103.9443,-103.9452
7/12/2018 10:40,EAP00016_OXP,Port 1,1,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,36,36,1016.7496,0.9908,-73.4994,-127.306
7/12/2018 10:40,EAP00016_OXP,Port 1,1,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,37,37,1017.056,0.9909,-38.0458,-141.9913
7/12/2018 10:40,EAP00016_OXP,Port 1,1,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,38,38,1018.5165,0.9909,0.0006,-147
7/12/2018 10:40,EAP00016_OXP,Port 1,1,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,39,39,1015.6723,0.9908,38.047,-141.991
7/12/2018 10:40,EAP00016_OXP,Port 1,1,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,40,40,1017.6918,0.9909,73.5006,-127.3054
7/12/2018 10:40,EAP00016_OXP,Port 1,1,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,41,41,1016.6957,0.9909,103.9452,-103.9443
7/12/2018 10:40,EAP00016_OXP,Port 1,1,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,42,42,1011.131,0.9908,127.3061,-73.4994
